,mileage,make,model,fuel,gear,offerType,price,hp,year,carType
313,33000,Renault,ZOE,Electric,Automatic,Used,8495,58.0,2016,EV
546,10,Hyundai,Ioniq,Electric,Manual,Demonstration,27670,120.0,2019,EV
777,9190,Volkswagen,ID.3,Electric,Automatic,Used,34920,204.0,2020,EV
791,1500,Volvo,XC40,Electric,Automatic,Demonstration,64890,408.0,2021,EV
796,1000,Volvo,XC40,Electric,Automatic,Demonstration,69880,408.0,2021,EV
918,20000,Peugeot,iOn,Electric,Automatic,Used,8815,67.0,2016,EV
977,20411,smart,forTwo,Electric,Automatic,Used,11749,82.0,2019,EV
1008,10,Renault,ZOE,Electric,Automatic,Used,15990,109.0,2021,EV
1087,32900,Renault,ZOE,Electric,Automatic,Used,6250,58.0,2014,EV
1192,5477,BMW,i3,Electric,Automatic,Used,25860,170.0,2019,EV
1402,20,Mazda,MX-30,Electric,Automatic,Pre-registered,22495,145.0,2020,EV
1811,12500,Audi,e-tron,Electric,Automatic,Demonstration,85690,408.0,2020,EV
2048,3000,Mercedes-Benz,EQC 400,Electric,Automatic,Demonstration,69890,197.0,2021,EV
2104,32525,Renault,Kangoo,Electric,Automatic,Used,4999,60.0,2012,EV
2156,86268,Renault,ZOE,Electric,Automatic,Used,6490,58.0,2015,EV
2237,16624,Kia,Soul,Electric,Automatic,Demonstration,31990,204.0,2019,EV
2253,2691,Opel,Corsa,Electric,Automatic,Used,21950,136.0,2020,EV
2274,3721,Hyundai,Kona,Electric,Automatic,Demonstration,44491,204.0,2021,EV
2276,0,Hyundai,Kona,Electric,Manual,Used,44750,204.0,2021,EV
2284,1000,Opel,Zafira Life,Electric,Automatic,Used,47650,136.0,2021,EV
2374,55000,Renault,ZOE,Electric,Automatic,Used,6300,58.0,2015,EV
2466,3418,Volkswagen,ID.3,Electric,Automatic,Used,35390,204.0,2020,EV
2470,9999,Volkswagen,ID.3,Electric,Automatic,Demonstration,35555,204.0,2020,EV
2475,2080,Volkswagen,ID.3,Electric,Automatic,Employee's car,35990,204.0,2020,EV
2811,46900,Renault,ZOE,Electric,Automatic,Used,6690,88.0,2016,EV
2817,26200,Renault,ZOE,Electric,Automatic,Used,6750,58.0,2016,EV
2882,2000,Opel,Zafira Life,Electric,Manual,Demonstration,47490,136.0,2020,EV
2903,1500,Skoda,Enyaq,Electric,Manual,Demonstration,57460,204.0,2021,EV
3031,19990,Renault,ZOE,Electric,Automatic,Used,8990,88.0,2016,EV
3220,37985,Renault,ZOE,Electric,Automatic,Used,7988,92.0,2015,EV
3241,58390,Renault,ZOE,Electric,Automatic,Used,6888,92.0,2016,EV
3315,8900,Tesla,Model 3,Electric,Automatic,Used,54988,513.0,2019,EV
3744,1100,Volkswagen,Golf,Electric,Automatic,Used,24490,136.0,2019,EV
4005,2500,Volvo,XC40,Electric,Automatic,Demonstration,64890,408.0,2021,EV
4221,25,MINI,Cooper SE,Electric,Automatic,Demonstration,37980,184.0,2021,EV
4300,43500,Renault,Kangoo,Electric,Automatic,Used,11500,60.0,2014,EV
4398,15670,smart,forTwo,Electric,Automatic,Used,12990,82.0,2019,EV
4496,49900,Renault,ZOE,Electric,Automatic,Used,6690,58.0,2013,EV
