,year,carType
0,2011,ICE
1,2011,ICE
2,2011,ICE
3,2011,ICE
4,2011,ICE
5,2011,ICE
6,2011,ICE
7,2011,ICE
8,2011,ICE
9,2011,ICE
10,2011,ICE
11,2011,ICE
12,2011,ICE
13,2011,ICE
14,2011,ICE
15,2011,ICE
16,2011,ICE
17,2011,ICE
18,2011,ICE
19,2011,ICE
20,2012,ICE
21,2012,ICE
22,2012,ICE
23,2012,ICE
24,2012,ICE
25,2012,ICE
26,2012,ICE
27,2012,ICE
28,2012,ICE
29,2012,ICE
30,2012,ICE
31,2012,ICE
32,2012,ICE
33,2012,ICE
34,2012,ICE
35,2012,ICE
36,2012,ICE
37,2012,ICE
38,2012,ICE
39,2012,ICE
40,2013,ICE
41,2013,ICE
42,2013,ICE
43,2013,ICE
44,2013,ICE
45,2013,ICE
46,2013,ICE
47,2013,ICE
48,2013,ICE
49,2013,ICE
50,2013,ICE
51,2013,ICE
52,2013,ICE
53,2013,ICE
54,2013,ICE
55,2013,ICE
56,2013,ICE
57,2013,ICE
58,2013,ICE
59,2013,ICE
60,2014,ICE
61,2014,ICE
62,2014,ICE
63,2014,ICE
64,2014,ICE
65,2014,ICE
66,2014,ICE
67,2014,ICE
68,2014,ICE
69,2014,ICE
70,2014,ICE
71,2014,ICE
72,2014,ICE
73,2014,ICE
74,2014,ICE
75,2014,ICE
76,2014,ICE
77,2014,ICE
78,2014,ICE
79,2015,ICE
80,2015,ICE
81,2015,ICE
82,2015,ICE
83,2015,ICE
84,2015,ICE
85,2015,ICE
86,2015,ICE
87,2015,ICE
88,2015,ICE
89,2015,ICE
90,2015,ICE
91,2015,ICE
92,2015,ICE
93,2015,ICE
94,2015,ICE
95,2015,ICE
96,2015,ICE
97,2016,ICE
98,2016,ICE
99,2016,ICE
100,2016,ICE
101,2016,ICE
102,2016,ICE
103,2016,ICE
104,2016,ICE
105,2016,ICE
106,2016,ICE
107,2016,ICE
108,2016,ICE
109,2016,ICE
110,2016,ICE
111,2016,ICE
112,2016,ICE
113,2016,ICE
114,2016,ICE
115,2016,ICE
116,2017,ICE
117,2017,ICE
118,2017,ICE
119,2017,ICE
120,2017,ICE
121,2017,ICE
122,2017,ICE
123,2017,ICE
124,2017,ICE
125,2017,ICE
126,2017,ICE
127,2017,ICE
128,2017,ICE
129,2017,ICE
130,2017,ICE
131,2017,ICE
132,2017,ICE
133,2017,ICE
134,2017,ICE
135,2018,ICE
136,2018,ICE
137,2018,ICE
138,2018,ICE
139,2018,ICE
140,2018,ICE
141,2018,ICE
142,2018,ICE
143,2018,ICE
144,2018,ICE
145,2018,ICE
146,2018,ICE
147,2018,ICE
148,2018,ICE
149,2018,ICE
150,2018,ICE
151,2018,ICE
152,2018,ICE
153,2018,ICE
154,2018,ICE
155,2019,ICE
156,2019,ICE
157,2019,ICE
158,2019,ICE
159,2019,ICE
160,2019,ICE
161,2019,ICE
162,2019,ICE
163,2019,ICE
164,2019,ICE
165,2019,ICE
166,2019,ICE
167,2019,ICE
168,2019,ICE
169,2019,ICE
170,2019,ICE
171,2019,ICE
172,2019,ICE
173,2019,ICE
174,2019,ICE
175,2020,ICE
176,2020,ICE
177,2020,ICE
178,2020,ICE
179,2020,ICE
180,2020,ICE
181,2020,ICE
182,2020,ICE
183,2020,ICE
184,2020,ICE
185,2020,ICE
186,2020,ICE
187,2020,ICE
188,2020,ICE
189,2020,ICE
190,2020,ICE
191,2020,ICE
192,2020,ICE
193,2020,ICE
194,2021,ICE
195,2021,ICE
196,2021,ICE
197,2021,ICE
198,2021,ICE
199,2021,ICE
200,2021,ICE
201,2021,ICE
202,2021,ICE
203,2021,ICE
204,2021,ICE
205,2021,ICE
206,2021,ICE
207,2021,ICE
208,2021,ICE
209,2021,ICE
210,2021,ICE
211,2021,ICE
212,2021,ICE
213,2021,ICE
214,2011,ICE
215,2011,ICE
216,2011,ICE
217,2011,ICE
218,2011,ICE
219,2011,ICE
220,2011,ICE
221,2011,ICE
222,2011,ICE
223,2011,ICE
224,2011,ICE
225,2011,ICE
226,2011,ICE
227,2011,ICE
228,2011,ICE
229,2011,ICE
230,2011,ICE
231,2011,ICE
232,2011,ICE
233,2011,ICE
234,2012,ICE
235,2012,ICE
236,2012,ICE
237,2012,ICE
238,2012,ICE
239,2012,ICE
240,2012,ICE
241,2012,ICE
242,2012,ICE
244,2012,ICE
245,2012,ICE
246,2012,ICE
247,2012,ICE
248,2012,ICE
249,2012,ICE
250,2012,ICE
251,2012,ICE
252,2012,ICE
253,2012,ICE
254,2013,ICE
255,2013,ICE
256,2013,ICE
257,2013,ICE
258,2013,ICE
259,2013,ICE
260,2013,ICE
261,2013,ICE
262,2013,ICE
263,2013,ICE
264,2013,ICE
